Index,id,Keyword,name,address,street_address,city,state,zipcode,Plus_Code,website,phone,email,Facebook,Twitter,Instagram,Lat,Lng,Verification_Text,Category,Rating,Reviews,profile_photo,Sub_Title,Pricing,Amenities,Description,Summary,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,External_Urls,Photo_Tags,URL
1,575,"Greene County, Alabama Electrician",Kelley Electric,"2180 Co Rd 50, Moundville, AL 35474",2180 Co Rd 50,Moundville,AL,35474,"XCW6+P8 Moundville, Alabama",,(205) 371-6702,default@example.com,,,,"32,9967983","-87,5891856",Claim this business,Electrician,,,//geo2.ggpht.com/cbk?panoid=7inOMhUhkAghd7AmNDc9Lg&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=143.98755&pitch=0&thumbfov=100,,,,,,,,,,,,,,"All, Street View & 360°","https://www.google.com/maps/place/Kelley+Electric/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sGreene+County,+Alabama+Electrician!3m4!1s0x8885feef80ff93c7:0x657eede27aa5814!8m2!3d32.9967983!4d-87.5891856?hl=en"
2,574,"Greene County, Alabama Electrician",Merit Electrical Inc,"28270 US-80, Demopolis, AL 36732",28270 US-80,Demopolis,AL,36732,"F35G+Q7 Demopolis, Alabama",,(334) 289-9033,default@example.com,,,,"32,4593839","-87,9243714",Claim this business,Electrician,,,//geo0.ggpht.com/cbk?panoid=elEAKBLicoVNeymhQT5rIg&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=51.02799&pitch=0&thumbfov=100,,,,,,,,,,,,,,"All, Street View & 360°","https://www.google.com/maps/place/Merit+Electrical+Inc/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sGreene+County,+Alabama+Electrician!3m4!1s0x8885a38e17ddd385:0xe2ce321447b103bf!8m2!3d32.4593839!4d-87.9243714?hl=en"
3,573,"Greene County, Alabama Electrician",Cutler Electrical Services LLC,"10659 N Sipsey Valley Rd, Buhl, AL 35446",10659 N Sipsey Valley Rd,Buhl,AL,35446,"669P+3C Buhl, Alabama",,(205) 578-1277,default@example.com,,,,"33,217664","-87,763913",Claim this business,Electrician,,,//geo0.ggpht.com/cbk?panoid=s4mNA7Ag8yQgoNuWBzQvOg&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=167.28093&pitch=0&thumbfov=100,,,,,,,,,,,,,,"All, Street View & 360°","https://www.google.com/maps/place/Cutler+Electrical+Services+LLC/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sGreene+County,+Alabama+Electrician!3m4!1s0x88860e13273ee259:0x10dda5cdaa06e190!8m2!3d33.217664!4d-87.763913?hl=en"
60000,60001,,default,default,,,default,00000,,,(333) 333-3333,default@example.com,,,,,,,,,,,,,,,,,,,,,,,,,
4,572,"Greene County, Alabama Electrician",Kelley Electric INC,"66 2nd Ave, Moundville, AL 35474",66 2nd Ave,Moundville,AL,35474,"X9W9+RQ Moundville, Alabama",,(205) 861-6489,default@example.com,,,,"32,9970845","-87,6305508",Claim this business,Electrician,,,//geo2.ggpht.com/cbk?panoid=6v0ZiRcSPEhWBuSwiGfY-Q&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=311.18765&pitch=0&thumbfov=100,,,,,,7AM–5PM,7AM–5PM,7AM–5PM,7AM–5PM,7AM–5PM,Closed,Closed,,"All, Street View & 360°","https://www.google.com/maps/place/Kelley+Electric+INC/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sGreene+County,+Alabama+Electrician!3m4!1s0x8885fd56e959ebb3:0xde1ae8e158076f3c!8m2!3d32.9970845!4d-87.6305508?hl=en"
5,571,"Greene County, Alabama Electrician","Anderson Plumbing, Heating & Electric","203 W Washington St #2045, Demopolis, AL 36732",203 W Washington St #2045,Demopolis,AL,36732,"G586+W7 Demopolis, Alabama",samedayservicepros.com,(334) 231-6980,default@example.com,,,,"32,5172509","-87,8393446",,HVAC contractor,5,10,https://lh5.googleusercontent.com/p/AF1QipPQ6I3juyWMAPjBhI8E8T35kVv3E5qLUQJLYW5w=w426-h240-k-no,,,,,,6:30AM–4:30PM,6:30AM–4:30PM,6:30AM–4:30PM,6:30AM–4:30PM,6:30AM–4:30PM,Closed,Closed,,"All, By owner, Street View & 360°","https://www.google.com/maps/place/Anderson+Plumbing,+Heating+%26+Electric/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sGreene+County,+Alabama+Electrician!3m4!1s0x8885981e6b27c05d:0x309cafa014da0435!8m2!3d32.5172509!4d-87.8393446?hl=en"
6,570,"Greene County, Alabama Electrician","New Day Electric, LLC","16321 Oak Valley Dr, Ralph, AL 35480",16321 Oak Valley Dr,Ralph,AL,35480,"47P3+5H Ralph, Alabama",newdayelectric.net,(333) 333-3333,default@example.com,,,,"33,1354757","-87,7460187",Claim this business,Electrical installation service,,,//geo0.ggpht.com/cbk?panoid=6xp8h5Psu88rrZgkQjdXsw&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=24.763336&pitch=0&thumbfov=100,,,,,,,,,,,,,,"All, Street View & 360°","https://www.google.com/maps/place/New+Day+Electric,+LLC/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sGreene+County,+Alabama+Electrician!3m4!1s0x888609253bb40001:0xd2355362d8a4bccb!8m2!3d33.1354757!4d-87.7460187?hl=en"
7,569,"Greene County, Alabama Electrician",Boligee Electrical,"215 Boligee St, Eutaw, AL 35462",215 Boligee St,Eutaw,AL,35462,"R4R6+2F Eutaw, Alabama",boligeeelectric.com,(205) 372-9733,default@example.com,,,,"32,8400476","-87,8887892",Claim this business,Electrician,,,//geo1.ggpht.com/cbk?panoid=zYEwUrcN4CBLvFhnmMVfDg&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=174.88239&pitch=0&thumbfov=100,,,,,,,,,,,,,,"All, Street View & 360°","https://www.google.com/maps/place/Boligee+Electrical/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sGreene+County,+Alabama+Electrician!3m4!1s0x8885c2febf3eb3e3:0x9326a8784c2be7ce!8m2!3d32.8400476!4d-87.8887892?hl=en"
8,568,"Perry County, Alabama Electrician",Coalmont Electric,"Centreville, AL 35042",,Centreville,AL,35042,,,(205) 926-1997,default@example.com,,,,"32,9445682","-87,1386067",Claim this business,Electrician,,,//geo1.ggpht.com/cbk?panoid=A5DPcVsYN3lx_DULZryYDg&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=166.69608&pitch=0&thumbfov=100,,,,,,,,,,,,,,"All, Street View & 360°","https://www.google.com/maps/place/Coalmont+Electric/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sPerry+County,+Alabama+Electrician!3m4!1s0x888f314d8ca6b5ab:0xd706f2c0dd563e62!8m2!3d32.9445682!4d-87.1386067?hl=en"
9,565,"Perry County, Alabama Electrician",Cahaba Electric Inc,"1719 Stallings Ave, Centreville, AL 35042",1719 Stallings Ave,Centreville,AL,35042,"WVMR+R7 Centreville, Alabama",,(205) 926-7897,default@example.com,,,,"32,9345181","-87,1093225",Claim this business,Electrician,,,//maps.gstatic.com/tactile/pane/default_geocode-1x.png,,,,,,,,,,,,,,,"https://www.google.com/maps/place/Cahaba+Electric+Inc/@32.5564373,-88.9247482,7z/data=!4m8!1m2!2m1!1sPerry+County,+Alabama+Electrician!3m4!1s0x888f317318bef229:0xc24d0558f8c0c512!8m2!3d32.9345181!4d-87.1093225?hl=en"